"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Black","District of Columbia","148","291,274","50.81","51.99","4,726"
"2022","Black","Florida","832","3,429,201","24.26","23.80","28,044"
"2022","Black","Georgia","1,071","3,502,283","30.58","29.46","35,927"
"2022","Black","Hawaii","--","28,043","--","--","--"
"2022","Black","Idaho","--","15,413","--","--","--"
"2022","Black","Illinois","917","1,773,951","51.69","51.78","31,680"
"2022","Black","Indiana","348","675,424","51.52","49.54","11,918"
"2022","Black","Iowa","49","134,424","36.45","32.69","1,783"
"2022","Black","Kansas","62","169,538","36.57","34.83","2,058"
"2022","Black","Kentucky","200","378,394","52.86","52.13","6,675"
"2022","Black","Louisiana","731","1,477,731","49.47","48.77","24,854"
"2022","Black","Maine","--","25,928","--","--","--"
"2022","Black","Maryland","535","1,873,368","28.56","29.13","17,631"
"2022","Black","Massachusetts","69","526,455","13.11","12.12","2,404"
"2022","Black","Michigan","567","1,381,727","41.04","41.44","17,664"
"2022","Black","Minnesota","96","423,114","22.69","20.61","3,485"
"2022","Black","Mississippi","488","1,098,629","44.42","44.45","16,112"
"2022","Black","Missouri","502","709,158","70.79","70.26","16,861"
"2022","Black","Montana","--","6,205","--","--","--"
"2022","Black","Nebraska","26","98,369","26.43","25.11","851"
"2022","Black","Nevada","92","309,116","29.76","29.19","2,678"
"2022","Black","New Hampshire","--","22,345","--","--","--"
"2022","Black","New Jersey","186","1,204,711","15.44","15.46","6,188"
"2022","Black","New Mexico","12**","41,637","28.82**","29.66**","335"
"2022","Black","New York","396","2,837,505","13.96","14.27","12,744"
"2022","Black","North Carolina","689","2,267,145","30.39","29.70","23,495"
"2022","Black","North Dakota","--","26,754","--","--","--"
"2022","Black","Ohio","662","1,514,821","43.70","43.71","22,695"
"2022","Black","Oklahoma","102","300,863","33.90","33.53","3,338"
"2022","Black","Oregon","47","86,653","54.24","50.97","1,526"
"2022","Black","Pennsylvania","686","1,403,451","48.88","47.15","22,737"
"2022","Black","Rhode Island","--","68,900","--","--","--"
"2022","Black","South Carolina","454","1,354,319","33.52","33.54","15,414"
"2022","Black","South Dakota","--","22,206","--","--","--"
"2022","Black","Tennessee","503","1,153,620","43.60","42.31","17,067"
"2022","Black","Texas","1,034","3,741,618","27.64","26.04","34,530"
"2022","Black","Utah","--","41,138","--","--","--"
"2022","Black","Vermont","--","9,071","--","--","--"
"2022","Black","Virginia","523","1,664,108","31.43","31.25","17,892"
"2022","Black","Washington","93","323,768","28.72","26.69","2,750"
"2022","Black","West Virginia","24","63,933","37.54","35.78","740"
"2022","Black","Wisconsin","255","369,629","68.99","67.96","8,360"
"2022","Black","Wyoming","--","6,004","--","--","--"
"2022","American Indian / Alaska Native","Alabama","--","28,072","--","--","--"
"2022","American Indian / Alaska Native","Alaska","38","109,120","34.82","32.58","1,244"
"2022","American Indian / Alaska Native","Arizona","81","274,326","29.53","28.52","2,552"
"2022","American Indian / Alaska Native","Arkansas","--","24,107","--","--","--"
"2022","American Indian / Alaska Native","California","14**","158,722","8.82**","8.41**","396"
"2022","American Indian / Alaska Native","Colorado","--","36,799","--","--","--"
"2022","American Indian / Alaska Native","Connecticut","--","8,158","--","--","--"
"2022","American Indian / Alaska Native","Delaware","0**","3,055","0.00**","0.00**","--"
"2022","American Indian / Alaska Native","District of Columbia","--","1,404","--","--","--"
"2022","American Indian / Alaska Native","Florida","--","56,494","--","--","--"
"2022","American Indian / Alaska Native","Georgia","--","25,046","--","--","--"
"2022","American Indian / Alaska Native","Hawaii","0**","3,045","0.00**","0.00**","--"
"2022","American Indian / Alaska Native","Idaho","--","19,839","--","--","--"
"2022","American Indian / Alaska Native","Illinois","--","19,669","--","--","--"
"2022","American Indian / Alaska Native","Indiana","--","15,747","--","--","--"
"2022","American Indian / Alaska Native","Iowa","0**","9,966","0.00**","0.00**","--"
"2022","American Indian / Alaska Native","Kansas","--","23,038","--","--","--"
"2022","American Indian / Alaska Native","Kentucky","--","9,511","--","--","--"
"2022","American Indian / Alaska Native","Louisiana","--","30,004","--","--","--"
"2022","American Indian / Alaska Native","Maine","--","8,807","--","--","--"
"2022","American Indian / Alaska Native","Maryland","--","14,658","--","--","--"
"2022","American Indian / Alaska Native","Massachusetts","0**","12,698","0.00**","0.00**","--"
"2022","American Indian / Alaska Native","Michigan","--","57,106","--","--","--"
"2022","American Indian / Alaska Native","Minnesota","13**","59,910","21.70**","20.80**","477"
"2022","American Indian / Alaska Native","Mississippi","--","15,007","--","--","--"
"2022","American Indian / Alaska Native","Missouri","--","27,156","--","--","--"
"2022","American Indian / Alaska Native","Montana","31","65,967","46.99","49.69","984"
"2022","American Indian / Alaska Native","Nebraska","--","16,137","--","--","--"
"2022","American Indian / Alaska Native","Nevada","--","26,334","--","--","--"
"2022","American Indian / Alaska Native","New Hampshire","0**","2,937","0.00**","0.00**","--"
"2022","American Indian / Alaska Native","New Jersey","0**","14,162","0.00**","0.00**","--"
"2022","American Indian / Alaska Native","New Mexico","55","185,093","29.72","29.11","1,714"
"2022","American Indian / Alaska Native","New York","--","59,252","--","--","--"
"2022","American Indian / Alaska Native","North Carolina","37","111,183","33.28","35.04","1,179"
"2022","American Indian / Alaska Native","North Dakota","--","37,660","--","--","--"
"2022","American Indian / Alaska Native","Ohio","--","22,750","--","--","--"
"2022","American Indian / Alaska Native","Oklahoma","88","333,051","26.42","28.35","2,340"
"2022","American Indian / Alaska Native","Oregon","--","46,042","--","--","--"
"2022","American Indian / Alaska Native","Pennsylvania","--","18,931","--","--","--"
"2022","American Indian / Alaska Native","Rhode Island","0**","4,531","0.00**","0.00**","--"
"2022","American Indian / Alaska Native","South Carolina","--","19,274","--","--","--"
"2022","American Indian / Alaska Native","South Dakota","35","70,119","49.92","44.93","1,363"
"2022","American Indian / Alaska Native","Tennessee","--","20,274","--","--","--"
"2022","American Indian / Alaska Native","Texas","--","98,205","--","--","--"
"2022","American Indian / Alaska Native","Utah","--","30,187","--","--","--"
