"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2019","American Indian / Alaska Native","Texas","--","94,391","--","--","--"
"2019","American Indian / Alaska Native","Utah","--","29,591","--","--","--"
"2019","American Indian / Alaska Native","Vermont","0**","2,010","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","Virginia","--","22,628","--","--","--"
"2019","American Indian / Alaska Native","Washington","12**","94,400","12.71**","12.52**","308"
"2019","American Indian / Alaska Native","West Virginia","0**","3,771","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","Wisconsin","--","51,310","--","--","--"
"2019","American Indian / Alaska Native","Wyoming","--","12,076","--","--","--"
"2019","Asian","Alabama","--","72,747","--","--","--"
"2019","Asian","Alaska","--","46,970","--","--","--"
"2019","Asian","Arizona","--","251,843","--","--","--"
"2019","Asian","Arkansas","--","49,556","--","--","--"
"2019","Asian","California","126","5,919,583","2.13","2.03","3,016"
"2019","Asian","Colorado","--","191,818","--","--","--"
"2019","Asian","Connecticut","--","172,483","--","--","--"
"2019","Asian","Delaware","--","40,261","--","--","--"
"2019","Asian","District of Columbia","--","30,572","--","--","--"
"2019","Asian","Florida","21","614,041","3.42","3.05","470"
"2019","Asian","Georgia","26","459,563","5.66","5.50","660"
"2019","Asian","Hawaii","14**","509,446","2.75**","2.53**","229"
"2019","Asian","Idaho","0**","26,205","0.00**","0.00**","--"
"2019","Asian","Illinois","--","738,350","--","--","--"
"2019","Asian","Indiana","--","170,203","--","--","--"
"2019","Asian","Iowa","--","84,465","--","--","--"
"2019","Asian","Kansas","0**","90,269","0.00**","0.00**","--"
"2019","Asian","Kentucky","--","71,402","--","--","--"
"2019","Asian","Louisiana","--","83,297","--","--","--"
"2019","Asian","Maine","0**","17,327","0.00**","0.00**","--"
"2019","Asian","Maryland","--","402,888","--","--","--"
"2019","Asian","Massachusetts","--","494,936","--","--","--"
"2019","Asian","Michigan","--","332,635","--","--","--"
"2019","Asian","Minnesota","15**","292,091","5.14**","5.25**","419"
"2019","Asian","Mississippi","--","32,023","--","--","--"
"2019","Asian","Missouri","--","130,906","--","--","--"
"2019","Asian","Montana","--","9,916","--","--","--"
"2019","Asian","Nebraska","0**","51,119","0.00**","0.00**","--"
"2019","Asian","Nevada","15**","258,018","5.81**","5.66**","407"
"2019","Asian","New Hampshire","--","40,594","--","--","--"
"2019","Asian","New Jersey","--","882,969","--","--","--"
"2019","Asian","New Mexico","--","33,113","--","--","--"
"2019","Asian","New York","16**","1,734,486","0.92**","0.86**","413"
"2019","Asian","North Carolina","--","328,719","--","--","--"
"2019","Asian","North Dakota","0**","12,896","0.00**","0.00**","--"
"2019","Asian","Ohio","15**","293,224","5.12**","4.61**","400"
"2019","Asian","Oklahoma","--","91,639","--","--","--"
"2019","Asian","Oregon","10**","198,454","5.04**","4.87**","212"
"2019","Asian","Pennsylvania","11**","472,705","2.33**","2.41**","238"
"2019","Asian","Rhode Island","0**","37,304","0.00**","0.00**","--"
"2019","Asian","South Carolina","--","92,049","--","--","--"
"2019","Asian","South Dakota","0**","14,084","0.00**","0.00**","--"
"2019","Asian","Tennessee","13**","129,292","10.06**","9.14**","384"
"2019","Asian","Texas","59","1,479,733","3.99","3.87","1,533"
"2019","Asian","Utah","--","80,238","--","--","--"
"2019","Asian","Vermont","0**","12,142","0.00**","0.00**","--"
"2019","Asian","Virginia","11**","586,724","1.88**","1.67**","329"
"2019","Asian","Washington","22","712,438","3.09","3.02","615"
"2019","Asian","West Virginia","0**","14,978","0.00**","0.00**","--"
"2019","Asian","Wisconsin","--","176,493","--","--","--"
"2019","Asian","Wyoming","0**","5,923","0.00**","0.00**","--"
"2019","HI Native / Pacific Islander","Alabama","0**","2,495","0.00**","0.00**","--"
"2019","HI Native / Pacific Islander","Alaska","--","11,063","--","--","--"
"2019","HI Native / Pacific Islander","Arizona","--","13,722","--","--","--"
"2019","HI Native / Pacific Islander","Arkansas","--","11,036","--","--","--"
"2019","HI Native / Pacific Islander","California","13**","146,630","8.87**","9.13**","404"
"2019","HI Native / Pacific Islander","Colorado","--","8,345","--","--","--"
"2019","HI Native / Pacific Islander","Connecticut","0**","1,306","0.00**","0.00**","--"
"2019","HI Native / Pacific Islander","Delaware","0**","340","0.00**","0.00**","--"
"2019","HI Native / Pacific Islander","District of Columbia","0**","332","0.00**","0.00**","--"
"2019","HI Native / Pacific Islander","Florida","--","13,839","--","--","--"
"2019","HI Native / Pacific Islander","Georgia","0**","7,422","0.00**","0.00**","--"
"2019","HI Native / Pacific Islander","Hawaii","--","137,409","--","--","--"
"2019","HI Native / Pacific Islander","Idaho","0**","3,159","0.00**","0.00**","--"
"2019","HI Native / Pacific Islander","Illinois","0**","3,628","0.00**","0.00**","--"
