"Year","Intent","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Suicide","Females","Alabama","88","2,606,936","3.38","3.25","1,386"
"2022","Suicide","Females","Alaska","13**","347,636","3.74**","3.78**","415"
"2022","Suicide","Females","Arizona","119","3,680,163","3.23","3.11","2,021"
"2022","Suicide","Females","Arkansas","51","1,540,160","3.31","3.07","875"
"2022","Suicide","Females","California","160","19,494,326","0.82","0.76","2,831"
"2022","Suicide","Females","Colorado","83","2,875,382","2.89","2.79","1,931"
"2022","Suicide","Females","Connecticut","10**","1,849,951","0.54**","0.53**","176"
"2022","Suicide","Females","Delaware","11**","523,876","2.10**","2.27**","235"
"2022","Suicide","Females","District of Columbia","--","352,121","--","--","--"
"2022","Suicide","Females","Florida","310","11,299,397","2.74","2.59","5,672"
"2022","Suicide","Females","Georgia","165","5,582,224","2.96","2.82","3,386"
"2022","Suicide","Females","Hawaii","--","715,485","--","--","--"
"2022","Suicide","Females","Idaho","38","961,894","3.95","3.94","826"
"2022","Suicide","Females","Illinois","82","6,353,298","1.29","1.22","1,560"
"2022","Suicide","Females","Indiana","90","3,437,549","2.62","2.48","1,572"
"2022","Suicide","Females","Iowa","24","1,593,780","1.51","1.42","435"
"2022","Suicide","Females","Kansas","41","1,461,695","2.81","2.86","1,044"
"2022","Suicide","Females","Kentucky","70","2,271,801","3.08","3.00","1,381"
"2022","Suicide","Females","Louisiana","77","2,342,871","3.29","3.25","1,544"
"2022","Suicide","Females","Maine","18**","702,108","2.56**","2.67**","384"
"2022","Suicide","Females","Maryland","25","3,162,751","0.79","0.77","550"
"2022","Suicide","Females","Massachusetts","--","3,564,024","--","--","--"
"2022","Suicide","Females","Michigan","125","5,051,569","2.47","2.46","2,582"
"2022","Suicide","Females","Minnesota","47","2,845,968","1.65","1.69","848"
"2022","Suicide","Females","Mississippi","62","1,511,281","4.10","4.19","1,137"
"2022","Suicide","Females","Missouri","105","3,123,136","3.36","3.17","1,613"
"2022","Suicide","Females","Montana","21","553,021","3.80","4.17","522"
"2022","Suicide","Females","Nebraska","20**","977,251","2.05**","2.10**","429"
"2022","Suicide","Females","Nevada","71","1,573,920","4.51","4.34","1,475"
"2022","Suicide","Females","New Hampshire","16**","697,422","2.29**","2.27**","373"
"2022","Suicide","Females","New Jersey","21","4,696,685","0.45","0.44","440"
"2022","Suicide","Females","New Mexico","40","1,060,193","3.77","3.55","670"
"2022","Suicide","Females","New York","34","10,050,941","0.34","0.33","821"
"2022","Suicide","Females","North Carolina","154","5,459,144","2.82","2.72","2,973"
"2022","Suicide","Females","North Dakota","--","378,798","--","--","--"
"2022","Suicide","Females","Ohio","131","5,946,374","2.20","2.16","2,693"
"2022","Suicide","Females","Oklahoma","77","2,015,318","3.82","3.87","1,568"
"2022","Suicide","Females","Oregon","66","2,122,965","3.11","2.87","1,077"
"2022","Suicide","Females","Pennsylvania","130","6,566,665","1.98","1.87","2,369"
"2022","Suicide","Females","Rhode Island","--","556,739","--","--","--"
"2022","Suicide","Females","South Carolina","94","2,710,515","3.47","3.39","1,790"
"2022","Suicide","Females","South Dakota","14**","447,101","3.13**","3.47**","367"
"2022","Suicide","Females","Tennessee","114","3,588,981","3.18","2.90","1,938"
"2022","Suicide","Females","Texas","359","15,010,122","2.39","2.35","7,310"
"2022","Suicide","Females","Utah","39","1,663,969","2.34","2.42","713"
"2022","Suicide","Females","Vermont","--","325,039","--","--","--"
"2022","Suicide","Females","Virginia","84","4,384,505","1.92","1.82","1,713"
"2022","Suicide","Females","Washington","78","3,857,444","2.02","1.85","1,358"
"2022","Suicide","Females","West Virginia","20**","888,850","2.25**","2.31**","387"
"2022","Suicide","Females","Wisconsin","62","2,937,233","2.11","2.13","1,491"
"2022","Suicide","Females","Wyoming","--","283,427","--","--","--"
"2022","Undetermined","Males","Alabama","--","2,467,360","--","--","--"
"2022","Undetermined","Males","Alaska","--","385,947","--","--","--"
"2022","Undetermined","Males","Arizona","13**","3,679,034","0.35**","0.36**","424"
"2022","Undetermined","Males","Arkansas","--","1,505,477","--","--","--"
"2022","Undetermined","Males","California","--","19,535,016","--","--","--"
"2022","Undetermined","Males","Colorado","--","2,964,544","--","--","--"
"2022","Undetermined","Males","Connecticut","--","1,776,254","--","--","--"
"2022","Undetermined","Males","Florida","20**","10,945,426","0.18**","0.20**","660"
"2022","Undetermined","Males","Georgia","19**","5,330,652","0.36**","0.37**","569"
"2022","Undetermined","Males","Hawaii","0**","724,711","0.00**","0.00**","--"
"2022","Undetermined","Males","Idaho","--","977,139","--","--","--"
"2022","Undetermined","Males","Illinois","--","6,228,734","--","--","--"
"2022","Undetermined","Males","Indiana","13**","3,395,488","0.38**","0.38**","350"
"2022","Undetermined","Males","Iowa","--","1,606,737","--","--","--"
"2022","Undetermined","Males","Kansas","--","1,475,455","--","--","--"
"2022","Undetermined","Males","Kentucky","--","2,240,509","--","--","--"
"2022","Undetermined","Males","Louisiana","--","2,247,370","--","--","--"
"2022","Undetermined","Males","Maryland","--","3,001,909","--","--","--"
"2022","Undetermined","Males","Massachusetts","--","3,417,950","--","--","--"
"2022","Undetermined","Males","Michigan","--","4,982,544","--","--","--"
