"Year","Intent","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2017","Suicide","Vermont","62","625,132","9.92","10.36","1,323"
"2017","Suicide","Virginia","672","8,471,011","7.93","7.51","12,863"
"2017","Suicide","Washington","639","7,427,951","8.60","8.14","11,227"
"2017","Suicide","West Virginia","267","1,818,683","14.68","13.83","4,294"
"2017","Suicide","Wisconsin","435","5,793,147","7.51","7.06","8,123"
"2017","Suicide","Wyoming","99","579,994","17.07","16.45","1,946"
"2017","Undetermined","Alabama","16**","4,877,989","0.33**","0.32**","339"
"2017","Undetermined","Alaska","--","740,983","--","--","--"
"2017","Undetermined","Arizona","19**","7,048,088","0.27**","0.27**","709"
"2017","Undetermined","Arkansas","--","3,003,855","--","--","--"
"2017","Undetermined","California","15**","39,337,785","0.04**","0.04**","412"
"2017","Undetermined","Colorado","--","5,617,421","--","--","--"
"2017","Undetermined","Connecticut","--","3,575,324","--","--","--"
"2017","Undetermined","Delaware","--","957,942","--","--","--"
"2017","Undetermined","District of Columbia","--","697,079","--","--","--"
"2017","Undetermined","Florida","16**","20,977,089","0.08**","0.07**","461"
"2017","Undetermined","Georgia","--","10,417,031","--","--","--"
"2017","Undetermined","Hawaii","--","1,425,763","--","--","--"
"2017","Undetermined","Idaho","--","1,719,745","--","--","--"
"2017","Undetermined","Illinois","11**","12,779,893","0.09**","0.09**","353"
"2017","Undetermined","Indiana","15**","6,662,068","0.23**","0.21**","374"
"2017","Undetermined","Iowa","--","3,143,734","--","--","--"
"2017","Undetermined","Kentucky","--","4,455,590","--","--","--"
"2017","Undetermined","Louisiana","--","4,673,673","--","--","--"
"2017","Undetermined","Maine","--","1,335,743","--","--","--"
"2017","Undetermined","Maryland","--","6,028,186","--","--","--"
"2017","Undetermined","Massachusetts","--","6,863,560","--","--","--"
