"Year","Ethnicity","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","Unknown","California","--","--","--","--","--"
"2020","Unknown","Colorado","--","--","--","--","--"
"2020","Unknown","Connecticut","--","--","--","--","--"
"2020","Unknown","District of Columbia","--","--","--","--","--"
"2020","Unknown","Florida","--","--","--","--","--"
"2020","Unknown","Hawaii","--","--","--","--","--"
"2020","Unknown","Illinois","--","--","--","--","--"
"2020","Unknown","Kansas","--","--","--","--","--"
"2020","Unknown","Kentucky","--","--","--","--","--"
"2020","Unknown","Maine","--","--","--","--","--"
"2020","Unknown","Massachusetts","--","--","--","--","--"
"2020","Unknown","Michigan","--","--","--","--","--"
"2020","Unknown","Minnesota","--","--","--","--","--"
"2020","Unknown","Missouri","--","--","--","--","--"
"2020","Unknown","New Mexico","--","--","--","--","--"
"2020","Unknown","New York","--","--","--","--","--"
"2020","Unknown","North Carolina","--","--","--","--","--"
"2020","Unknown","Oklahoma","--","--","--","--","--"
"2020","Unknown","Oregon","--","--","--","--","--"
"2020","Unknown","Pennsylvania","--","--","--","--","--"
"2020","Unknown","Texas","--","--","--","--","--"
"2020","Unknown","Virginia","--","--","--","--","--"
"2019","Non-Hispanic","Alabama","1,049","4,687,176","22.38","22.54","24,879"
"2019","Non-Hispanic","Alaska","169","679,981","24.85","24.81","4,586"
"2019","Non-Hispanic","Arizona","860","4,978,686","17.27","15.94","15,392"
"2019","Non-Hispanic","Arkansas","570","2,784,446","20.47","20.49","13,556"
"2019","Non-Hispanic","California","2,043","23,949,466","8.53","7.77","37,624"
"2019","Non-Hispanic","Colorado","709","4,503,436","15.74","14.85","14,886"
"2019","Non-Hispanic","Connecticut","165","2,964,941","5.57","5.47","3,220"
"2019","Non-Hispanic","Delaware","90","882,514","10.20","10.71","2,164"
"2019","Non-Hispanic","District of Columbia","137","628,415","21.80","19.48","4,912"
