"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2016","Nevada","430","2,092,472","20.55","19.62","8,131"
"2016","New Hampshire","128","1,295,742","9.88","9.17","2,308"
"2016","New Jersey","428","7,122,300","6.01","6.18","11,285"
"2016","New Mexico","231","1,075,099","21.49","19.85","3,983"
"2016","New York","790","15,944,399","4.96","4.76","17,932"
"2016","North Carolina","1,356","9,232,792","14.69","14.30","31,272"
"2016","North Dakota","87","728,498","11.94","11.93","1,962"
"2016","Ohio","1,486","11,209,857","13.26","12.94","34,617"
"2016","Oklahoma","728","3,518,071","20.69","20.49","16,240"
"2016","Oregon","485","3,571,057","13.58","12.47","8,370"
"2016","Pennsylvania","1,479","11,886,170","12.44","12.11","34,364"
"2016","Rhode Island","47","899,013","5.23","4.37","854"
"2016","South Carolina","876","4,689,360","18.68","18.34","20,041"
"2016","South Dakota","106","830,888","12.76","13.76","2,514"
"2016","Tennessee","1,112","6,302,241","17.65","17.25","25,479"
"2016","Texas","2,580","17,021,803","15.16","14.74","58,139"
"2016","Utah","329","2,625,685","12.53","13.26","7,335"
"2016","Vermont","78","612,726","12.73","11.23","1,325"
"2016","Virginia","1,020","7,651,802","13.33","12.76","22,892"
"2016","Washington","625","6,386,897","9.79","9.09","12,262"
"2016","West Virginia","332","1,803,855","18.41","17.78","6,527"
"2016","Wisconsin","644","5,386,537","11.96","11.82","15,344"
"2016","Wyoming","97","527,037","18.41","18.22","1,622"
"2015","Alabama","939","4,656,682","20.17","19.97","21,660"
"2015","Alaska","169","688,050","24.56","24.01","4,807"
"2015","Arizona","805","4,725,109","17.04","15.77","14,851"
"2015","Arkansas","508","2,766,936","18.36","17.64","10,726"
"2015","California","2,186","23,916,520","9.14","8.39","43,572"
"2015","Colorado","618","4,296,042","14.39","13.69","13,021"
"2015","Connecticut","162","3,041,630","5.33","5.29","3,343"
"2015","Delaware","109","858,587","12.70","13.06","3,041"
"2015","District of Columbia","119","604,676","19.68","16.30","4,137"
"2015","Florida","2,239","15,267,902","14.67","13.89","45,292"
"2015","Georgia","1,384","9,249,289","14.96","14.75","34,000"
"2015","Hawaii","49","1,276,514","3.84","3.46","840"
"2015","Idaho","234","1,450,782","16.13","15.72","4,567"
"2015","Illinois","1,095","10,716,285","10.22","10.17","30,239"
"2015","Indiana","813","6,174,402","13.17","13.06","20,160"
"2015","Iowa","242","2,943,980","8.22","7.97","5,367"
"2015","Kansas","292","2,575,253","11.34","11.19","6,327"
"2015","Kentucky","681","4,275,413","15.93","15.29","14,219"
"2015","Louisiana","928","4,438,521","20.91","20.92","23,524"
"2015","Maine","143","1,308,458","10.93","9.96","2,279"
"2015","Maryland","689","5,424,262","12.70","12.87","18,889"
"2015","Massachusetts","170","6,038,885","2.82","2.66","3,714"
"2015","Michigan","1,133","9,447,558","11.99","11.88","26,188"
"2015","Minnesota","399","5,199,900","7.67","7.61","9,290"
"2015","Mississippi","584","2,899,700","20.14","19.90","12,988"
"2015","Missouri","1,077","5,833,065","18.46","18.37","26,203"
"2015","Montana","193","994,406","19.41","18.91","4,038"
"2015","Nebraska","165","1,695,538","9.73","9.62","4,234"
"2015","Nevada","383","2,064,273","18.55","17.11","7,202"
"2015","New Hampshire","119","1,291,872","9.21","8.97","2,184"
"2015","New Jersey","436","7,148,241","6.10","6.25","11,106"
"2015","New Mexico","245","1,079,983","22.69","21.10","4,505"
"2015","New York","754","15,992,813","4.72","4.54","17,999"
"2015","North Carolina","1,229","9,136,827","13.45","12.95","26,654"
"2015","North Dakota","91","729,141","12.48","12.96","2,078"
"2015","Ohio","1,380","11,205,547","12.32","12.18","32,653"
"2015","Oklahoma","663","3,513,712","18.87","18.48","14,043"
"2015","Oregon","462","3,512,987","13.15","12.10","8,213"
"2015","Pennsylvania","1,383","11,919,519","11.60","11.21","30,807"
"2015","Rhode Island","49","902,778","5.43","5.22","972"
