income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$25,000 to < $35,000",Minnesota,27,148,219,367,38.2146324935452,31.8697324108006,44.5595325762898,37.2410405864734,20.393502882859,54.0885782900878
"$35,000 to < $50,000",Minnesota,27,178,273,451,33.93320564582,28.5595711164591,39.306840175181,33.456534965065,18.5398497927974,48.3732201373326
"$50,000 to < $75,000",Minnesota,27,292,365,657,37.9729902725278,33.2210414580229,42.7249390870328,38.3973728638886,23.5881447153025,53.2066010124748
"$75,000 to < $100,000",Minnesota,27,348,308,656,53.6862516517433,48.4570181497545,58.915485153732,50.0767497481742,33.9163378830519,66.2371616132964
"$100,000 to < $200,000",Minnesota,27,661,474,1135,54.5208066532288,50.5578563360355,58.4837569704221,45.3425072014084,35.6207201085807,55.0642942942362
"$200,000 or more",Minnesota,27,251,143,394,60.2222990923171,53.9688652704754,66.4757329141589,62.9636121650726,41.8442183251169,84.0830060050283
"Don’t know/Not sure/Missing",Minnesota,27,256,361,617,39.1570422597963,34.327355428049,43.9867290915437,38.3052237494155,24.4627782933726,52.1476692054584
"Less than $15,000",Mississippi,28,30,92,122,27.0881784818691,16.4170669502313,37.7592900135068,.,.,.
"$15,000 to < $25,000",Mississippi,28,51,130,181,26.3774530606306,18.6860140659447,34.0688920553164,26.7568888212368,13.1690939488988,40.3446836935748
"$25,000 to < $35,000",Mississippi,28,59,134,193,29.758492034849,21.9385987752473,37.5783852944507,.,.,.
"$35,000 to < $50,000",Mississippi,28,84,116,200,40.0698050017454,31.5828155685742,48.5567944349167,37.7325687322408,23.4306851500319,52.0344523144497
"$50,000 to < $75,000",Mississippi,28,90,105,195,42.6326704406803,34.5988907467873,50.6664501345733,38.930215279083,23.8742004912767,53.9862300668893
