age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_25_29,Maryland,24,113,169,282,40.4314738910271,32.1921354418982,48.670812340156,.,.,.
_30_34,Maryland,24,157,221,378,39.1727895947306,32.6960448139828,45.6495343754784,.,.,.
_35_39,Maryland,24,206,248,454,47.7756213917079,41.4437925659728,54.107450217443,.,.,.
_40_44,Maryland,24,282,238,520,52.6301879405689,46.2767463950224,58.9836294861155,.,.,.
_45_49,Maryland,24,268,204,472,54.9076192057042,48.0631725781577,61.7520658332508,.,.,.
_50_54,Maryland,24,349,257,606,58.0582249596878,52.4558027828662,63.6606471365094,.,.,.
_55_59,Maryland,24,374,325,699,53.5081518814726,47.5316624175303,59.484641345415,.,.,.
_60_65,Maryland,24,467,522,989,43.900408650392,38.9422946583409,48.858522642443,.,.,.
_21_24,Massachusetts,25,82,179,261,24.8807398754188,18.9366032253566,30.824876525481,.,.,.
_25_29,Massachusetts,25,126,151,277,38.1171348303766,30.7318436300193,45.502426030734,.,.,.
_30_34,Massachusetts,25,173,154,327,48.9901230018989,42.4011427691272,55.5791032346706,.,.,.
_35_39,Massachusetts,25,174,155,329,54.6132015648314,47.8207789852078,61.405624144455,.,.,.
_40_44,Massachusetts,25,193,137,330,57.212867185996,50.3840915231259,64.0416428488661,.,.,.
_45_49,Massachusetts,25,224,127,351,60.195816908639,53.5389180873908,66.8527157298872,.,.,.
_50_54,Massachusetts,25,207,160,367,55.0716139393622,48.464600480999,61.6786273977254,.,.,.
_55_59,Massachusetts,25,265,159,424,63.0739223824884,57.192174978787,68.9556697861898,.,.,.
_60_65,Massachusetts,25,310,246,556,57.0814724602446,51.627325152479,62.5356197680102,.,.,.
_21_24,Michigan,26,37,97,134,26.1850420775494,17.3242468909094,35.0458372641894,.,.,.
_25_29,Michigan,26,75,101,176,40.6568227375365,32.6337739620415,48.6798715130315,.,.,.
_30_34,Michigan,26,107,90,197,54.3051933019713,46.5781855087867,62.0322010951559,.,.,.
_35_39,Michigan,26,105,102,207,48.615087258754,41.002907755539,56.2272667619689,.,.,.
_40_44,Michigan,26,139,88,227,57.5718477529553,50.11218735911,65.0315081468007,.,.,.
_45_49,Michigan,26,151,114,265,56.0089739396224,48.596990428621,63.4209574506238,.,.,.
_50_54,Michigan,26,194,150,344,54.6678938258993,48.4097026621882,60.9260849896104,.,.,.
