state_fips,state_name,sex,age,population
27,Minnesota,All,10-19,750004.0
27,Minnesota,All,20-29,735214.0
27,Minnesota,All,30-39,774237.0
27,Minnesota,All,40-49,686171.0
27,Minnesota,All,50-59,731307.0
27,Minnesota,All,60-69,684077.0
27,Minnesota,All,70-79,400022.0
27,Minnesota,All,80+,228719.0
27,Minnesota,All,All,5695292.0
27,Minnesota,Female,0-9,343473.0
27,Minnesota,Female,10-19,367250.0
27,Minnesota,Female,20-29,359686.0
27,Minnesota,Female,30-39,376719.0
27,Minnesota,Female,40-49,333308.0
27,Minnesota,Female,50-59,359732.0
27,Minnesota,Female,60-69,346156.0
27,Minnesota,Female,70-79,213113.0
27,Minnesota,Female,80+,137891.0
27,Minnesota,Female,All,2837328.0
27,Minnesota,Male,0-9,362068.0
27,Minnesota,Male,10-19,382754.0
27,Minnesota,Male,20-29,375528.0
27,Minnesota,Male,30-39,397518.0
27,Minnesota,Male,40-49,352863.0
27,Minnesota,Male,50-59,371575.0
27,Minnesota,Male,60-69,337921.0
27,Minnesota,Male,70-79,186909.0
27,Minnesota,Male,80+,90828.0
27,Minnesota,Male,All,2857964.0
28,Mississippi,All,0-9,361306.0
28,Mississippi,All,10-19,421101.0
28,Mississippi,All,20-29,398548.0
28,Mississippi,All,30-39,372902.0
28,Mississippi,All,40-49,358030.0
28,Mississippi,All,50-59,365099.0
28,Mississippi,All,60-69,354786.0
28,Mississippi,All,70-79,220336.0
28,Mississippi,All,80+,106738.0
28,Mississippi,All,All,2958846.0
28,Mississippi,Female,0-9,178649.0
28,Mississippi,Female,10-19,206022.0
28,Mississippi,Female,20-29,197717.0
28,Mississippi,Female,30-39,190781.0
28,Mississippi,Female,40-49,183080.0
28,Mississippi,Female,50-59,188070.0
28,Mississippi,Female,60-69,187710.0
28,Mississippi,Female,70-79,120360.0
28,Mississippi,Female,80+,68469.0
28,Mississippi,Female,All,1520858.0
