state_fips,state_name,sex,population,population_pct,time_period
42,Pennsylvania,All,12779559.0,100.0,2015
42,Pennsylvania,All,12794885.0,100.0,2020
42,Pennsylvania,All,12790505.0,100.0,2017
42,Pennsylvania,All,12989208.0,100.0,2022
44,Rhode Island,All,1053252.0,100.0,2014
44,Rhode Island,All,1052471.0,100.0,2012
44,Rhode Island,All,1051695.0,100.0,2013
44,Rhode Island,All,1057381.0,100.0,2009
44,Rhode Island,All,1053959.0,100.0,2011
44,Rhode Island,All,1056389.0,100.0,2010
44,Rhode Island,All,1056611.0,100.0,2018
44,Rhode Island,All,1091949.0,100.0,2021
44,Rhode Island,All,1054491.0,100.0,2016
44,Rhode Island,All,1057231.0,100.0,2019
44,Rhode Island,All,1053661.0,100.0,2015
44,Rhode Island,All,1057798.0,100.0,2020
44,Rhode Island,All,1056138.0,100.0,2017
44,Rhode Island,All,1094250.0,100.0,2022
45,South Carolina,All,4727273.0,100.0,2014
45,South Carolina,All,4630351.0,100.0,2012
45,South Carolina,All,4679602.0,100.0,2013
45,South Carolina,All,4416867.0,100.0,2009
45,South Carolina,All,4575864.0,100.0,2011
45,South Carolina,All,4511428.0,100.0,2010
45,South Carolina,All,4955925.0,100.0,2018
45,South Carolina,All,5078903.0,100.0,2021
45,South Carolina,All,4834605.0,100.0,2016
45,South Carolina,All,5020806.0,100.0,2019
45,South Carolina,All,4777576.0,100.0,2015
45,South Carolina,All,5091517.0,100.0,2020
45,South Carolina,All,4893444.0,100.0,2017
45,South Carolina,All,5142750.0,100.0,2022
46,South Dakota,All,834708.0,100.0,2014
46,South Dakota,All,815871.0,100.0,2012
46,South Dakota,All,825198.0,100.0,2013
46,South Dakota,All,796513.0,100.0,2009
46,South Dakota,All,807697.0,100.0,2011
46,South Dakota,All,799462.0,100.0,2010
46,South Dakota,All,864289.0,100.0,2018
46,South Dakota,All,881785.0,100.0,2021
46,South Dakota,All,851058.0,100.0,2016
46,South Dakota,All,870638.0,100.0,2019
46,South Dakota,All,843190.0,100.0,2015
46,South Dakota,All,879336.0,100.0,2020
46,South Dakota,All,855444.0,100.0,2017
46,South Dakota,All,890342.0,100.0,2022
47,Tennessee,All,6451365.0,100.0,2014
47,Tennessee,All,6353226.0,100.0,2012
47,Tennessee,All,6402387.0,100.0,2013
47,Tennessee,All,6158953.0,100.0,2009
47,Tennessee,All,6297991.0,100.0,2011
47,Tennessee,All,6234968.0,100.0,2010
47,Tennessee,All,6651089.0,100.0,2018
47,Tennessee,All,6859497.0,100.0,2021
47,Tennessee,All,6548009.0,100.0,2016
47,Tennessee,All,6709356.0,100.0,2019
47,Tennessee,All,6499615.0,100.0,2015
47,Tennessee,All,6772268.0,100.0,2020
47,Tennessee,All,6597381.0,100.0,2017
47,Tennessee,All,6923772.0,100.0,2022
48,Texas,All,26092033.0,100.0,2014
48,Texas,All,25208897.0,100.0,2012
48,Texas,All,25639373.0,100.0,2013
48,Texas,All,23819042.0,100.0,2009
48,Texas,All,24774187.0,100.0,2011
48,Texas,All,24311891.0,100.0,2010
48,Texas,All,27885195.0,100.0,2018
48,Texas,All,28862581.0,100.0,2021
48,Texas,All,26956435.0,100.0,2016
48,Texas,All,28260856.0,100.0,2019
48,Texas,All,26538614.0,100.0,2015
48,Texas,All,28635442.0,100.0,2020
48,Texas,All,27419612.0,100.0,2017
48,Texas,All,29243342.0,100.0,2022
49,Utah,All,2858111.0,100.0,2014
49,Utah,All,2766233.0,100.0,2012
49,Utah,All,2813673.0,100.0,2013
49,Utah,All,2651816.0,100.0,2009
49,Utah,All,2715379.0,100.0,2011
