Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,Missouri,29,65-69 years,65-69,470,205558,228.6
,1999,1999,Breast,26000,Missouri,29,70-74 years,70-74,469,188365,249
,1999,1999,Breast,26000,Missouri,29,75-79 years,75-79,450,156690,287.2
,1999,1999,Breast,26000,Missouri,29,80-84 years,80-84,296,105892,279.5
,1999,1999,Breast,26000,Missouri,29,85+ years,85+,248,97719,253.8
,1999,1999,Breast,26000,Montana,30,35-39 years,35-39,21,68606,30.6
,1999,1999,Breast,26000,Montana,30,40-44 years,40-44,51,75619,67.4
,1999,1999,Breast,26000,Montana,30,45-49 years,45-49,69,72177,95.6
,1999,1999,Breast,26000,Montana,30,50-54 years,50-54,89,58828,151.3
,1999,1999,Breast,26000,Montana,30,55-59 years,55-59,84,45838,183.3
,1999,1999,Breast,26000,Montana,30,60-64 years ,60-64,82,37398,219.3
,1999,1999,Breast,26000,Montana,30,65-69 years,65-69,65,32374,200.8
,1999,1999,Breast,26000,Montana,30,70-74 years,70-74,78,29859,261.2
,1999,1999,Breast,26000,Montana,30,75-79 years,75-79,67,24703,271.2
,1999,1999,Breast,26000,Montana,30,80-84 years,80-84,52,18014,288.7
,1999,1999,Breast,26000,Montana,30,85+ years,85+,49,15001,326.6
,1999,1999,Breast,26000,Nebraska,31,35-39 years,35-39,36,132900,27.1
,1999,1999,Breast,26000,Nebraska,31,40-44 years,40-44,66,133007,49.6
,1999,1999,Breast,26000,Nebraska,31,45-49 years,45-49,101,120758,83.6
,1999,1999,Breast,26000,Nebraska,31,50-54 years,50-54,129,98618,130.8
,1999,1999,Breast,26000,Nebraska,31,55-59 years,55-59,111,75854,146.3
,1999,1999,Breast,26000,Nebraska,31,60-64 years ,60-64,123,64422,190.9
,1999,1999,Breast,26000,Nebraska,31,65-69 years,65-69,163,59730,272.9
,1999,1999,Breast,26000,Nebraska,31,70-74 years,70-74,145,56690,255.8
,1999,1999,Breast,26000,Nebraska,31,75-79 years,75-79,131,47817,274
,1999,1999,Breast,26000,Nebraska,31,80-84 years,80-84,117,34439,339.7
,1999,1999,Breast,26000,Nebraska,31,85+ years,85+,132,33855,389.9
,1999,1999,Breast,26000,Nevada,32,30-34 years,30-34,16,158717,10.1
,1999,1999,Breast,26000,Nevada,32,35-39 years,35-39,38,163817,23.2
,1999,1999,Breast,26000,Nevada,32,40-44 years,40-44,70,151337,46.3
,1999,1999,Breast,26000,Nevada,32,45-49 years,45-49,103,134314,76.7
,1999,1999,Breast,26000,Nevada,32,50-54 years,50-54,140,122075,114.7
,1999,1999,Breast,26000,Nevada,32,55-59 years,55-59,115,100088,114.9
,1999,1999,Breast,26000,Nevada,32,60-64 years ,60-64,121,81732,148
,1999,1999,Breast,26000,Nevada,32,65-69 years,65-69,127,70207,180.9
,1999,1999,Breast,26000,Nevada,32,70-74 years,70-74,127,59520,213.4
,1999,1999,Breast,26000,Nevada,32,75-79 years,75-79,86,43555,197.5
,1999,1999,Breast,26000,Nevada,32,80-84 years,80-84,45,24426,184.2
,1999,1999,Breast,26000,Nevada,32,85+ years,85+,37,16334,226.5
