age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_50_54,Oklahoma,40,208,185,393,52.0943511519936,46.7112854848447,57.4774168191425,.,.,.
_55_59,Oklahoma,40,267,151,418,62.4022505235693,57.2338618075228,67.5706392396158,.,.,.
_60_64,Oklahoma,40,352,149,501,67.8722278891053,63.0896820007166,72.654773777494,.,.,.
_65_69,Oklahoma,40,373,130,503,74.3796869117118,69.8841066073231,78.8752672161005,.,.,.
_70_75,Oklahoma,40,440,106,546,80.9342827591356,77.130358444573,84.7382070736982,.,.,.
_45_49,Oregon,41,97,297,394,25.5376063223955,20.4668675996663,30.6083450451247,.,.,.
_50_54,Oregon,41,233,206,439,52.7979654730732,47.5433854044506,58.0525455416957,.,.,.
_55_59,Oregon,41,337,128,465,69.5553048150353,62.6035057264434,76.5071039036272,.,.,.
_60_64,Oregon,41,381,114,495,77.5828681798053,73.1439418973286,82.0217944622819,.,.,.
_65_69,Oregon,41,410,101,511,80.131136437607,75.325965914352,84.936306960862,.,.,.
_70_75,Oregon,41,440,100,540,80.5528510451717,76.1181699475552,84.9875321427883,.,.,.
_45_49,Pennsylvania,42,80,189,269,27.8677850654884,19.9218910797416,35.8136790512352,.,.,.
_50_54,Pennsylvania,42,194,153,347,52.4413581212372,44.1514948766797,60.7312213657947,.,.,.
_55_59,Pennsylvania,42,265,88,353,74.0319436820221,67.300793027903,80.7630943361412,.,.,.
_60_64,Pennsylvania,42,348,86,434,76.4128992547268,71.0146241432915,81.8111743661621,.,.,.
_65_69,Pennsylvania,42,351,66,417,76.4685389421447,71.0067931103878,81.9302847739016,.,.,.
_70_75,Pennsylvania,42,361,72,433,81.9583815758212,76.846881666649,87.0698814849934,.,.,.
_45_49,"Rhode Island",44,93,204,297,29.5492563847059,22.8499808882017,36.2485318812102,.,.,.
_50_54,"Rhode Island",44,276,139,415,63.8157442566354,57.5632213070406,70.0682672062303,.,.,.
