income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$15,000 to < $25,000",Arkansas,5,25,44,69,31.276312202034,17.2787826885693,45.2738417154988,.,.,.
"$25,000 to < $35,000",Arkansas,5,11,39,50,.,.,.,.,.,.
"$35,000 to < $50,000",Arkansas,5,9,27,36,23.5074042404786,10.782087714318,36.2327207666393,24.8937183883219,18.814460027384,30.9729767492598
"$50,000 to < $75,000",Arkansas,5,10,19,29,.,.,.,.,.,.
"$75,000 to < $100,000",Arkansas,5,3,14,17,.,.,.,.,.,.
"$100,000 to < $200,000",Arkansas,5,3,11,14,.,.,.,.,.,.
"$200,000 or more",Arkansas,5,0,3,3,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Arkansas,5,9,29,38,.,.,.,.,.,.
"Less than $15,000",California,6,7,26,33,.,.,.,.,.,.
"$15,000 to < $25,000",California,6,7,21,28,.,.,.,.,.,.
"$25,000 to < $35,000",California,6,6,26,32,28.931222750898,12.1973751678057,45.6650703339904,57.6862527506536,40.2428407582759,75.1296647430312
"$35,000 to < $50,000",California,6,5,14,19,19.9169157248385,12.0281554888732,27.8056759608038,32.4116595916355,20.7556917070428,44.0676274762281
"$50,000 to < $75,000",California,6,5,11,16,.,.,.,.,.,.
"$75,000 to < $100,000",California,6,8,16,24,39.6235753657779,15.9951694927566,63.2519812387991,47.1282298902383,26.7828584266644,67.4736013538123
"$100,000 to < $200,000",California,6,4,21,25,.,.,.,.,.,.
"$200,000 or more",California,6,2,2,4,.,.,.,.,.,.
"Don’t know/Not sure/Missing",California,6,5,25,30,.,.,.,.,.,.
"Less than $15,000",Colorado,8,3,16,19,.,.,.,.,.,.
"$15,000 to < $25,000",Colorado,8,6,20,26,.,.,.,.,.,.
"$25,000 to < $35,000",Colorado,8,4,22,26,.,.,.,.,.,.
"$35,000 to < $50,000",Colorado,8,6,17,23,.,.,.,.,.,.
"$50,000 to < $75,000",Colorado,8,9,18,27,32.8084888571244,17.0297306366817,48.5872470775671,29.5062255732525,17.1821801024986,41.8302710440064
"$75,000 to < $100,000",Colorado,8,3,20,23,.,.,.,.,.,.
"$100,000 to < $200,000",Colorado,8,5,21,26,.,.,.,.,.,.
"$200,000 or more",Colorado,8,0,5,5,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Colorado,8,7,20,27,24.3145633986115,10.9956046118089,37.6335221854141,.,.,.
"Less than $15,000",Connecticut,9,8,19,27,.,.,.,.,.,.
"$15,000 to < $25,000",Connecticut,9,12,24,36,49.4631014911668,25.8639080406806,73.0622949416529,.,.,.
"$25,000 to < $35,000",Connecticut,9,14,19,33,44.1420963582973,20.6607960669325,67.6233966496621,45.5708356485569,22.2976561159136,68.8440151812002
"$35,000 to < $50,000",Connecticut,9,11,11,22,.,.,.,.,.,.
"$50,000 to < $75,000",Connecticut,9,16,18,34,51.7945018750208,34.1045291061958,69.4844746438458,54.8131476554382,36.4705969691162,73.1556983417602
"$75,000 to < $100,000",Connecticut,9,16,20,36,.,.,.,.,.,.
"$100,000 to < $200,000",Connecticut,9,13,22,35,37.0845857078054,16.9852205405368,57.183950875074,.,.,.
"$200,000 or more",Connecticut,9,4,8,12,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Connecticut,9,16,28,44,40.1958002220848,20.9435660914388,59.4480343527307,41.8450748874161,19.3297639729403,64.3603858018918
"Less than $15,000",Delaware,10,3,13,16,.,.,.,.,.,.
"$15,000 to < $25,000",Delaware,10,13,14,27,48.6367971050794,18.8466040262151,78.4269901839437,.,.,.
"$25,000 to < $35,000",Delaware,10,10,13,23,53.9342064928256,32.1786643437124,75.6897486419389,45.4992540143114,26.5755551819305,64.4229528466924
"$35,000 to < $50,000",Delaware,10,5,17,22,.,.,.,.,.,.
"$50,000 to < $75,000",Delaware,10,12,24,36,.,.,.,.,.,.
"$75,000 to < $100,000",Delaware,10,4,8,12,.,.,.,.,.,.
"$100,000 to < $200,000",Delaware,10,2,8,10,.,.,.,.,.,.
"$200,000 or more",Delaware,10,0,3,3,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Delaware,10,8,14,22,.,.,.,.,.,.
"Less than $15,000","District of Columbia",11,3,4,7,.,.,.,.,.,.
"$15,000 to < $25,000","District of Columbia",11,5,4,9,.,.,.,.,.,.
"$25,000 to < $35,000","District of Columbia",11,2,6,8,.,.,.,.,.,.
"$35,000 to < $50,000","District of Columbia",11,3,4,7,.,.,.,.,.,.
"$50,000 to < $75,000","District of Columbia",11,3,3,6,.,.,.,.,.,.
