Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2004,2004,Breast,26000,Nevada,32,Female,F,294,1156586,25.4
,2004,2004,Breast,26000,New Hampshire,33,Female,F,179,653845,27.4
,2004,2004,Breast,26000,New Jersey,34,Female,F,1376,4436964,31
,2004,2004,Breast,26000,New Jersey,34,Male,M,25,4197597,0.6
,2004,2004,Breast,26000,New Mexico,35,Female,F,247,964738,25.6
,2004,2004,Breast,26000,New York,36,Female,F,2888,9913527,29.1
,2004,2004,Breast,26000,New York,36,Male,M,23,9258040,0.2
,2004,2004,Breast,26000,North Carolina,37,Female,F,1226,4376070,28
,2004,2004,Breast,26000,North Dakota,38,Female,F,88,321008,27.4
,2004,2004,Breast,26000,Ohio,39,Female,F,1888,5874411,32.1
,2004,2004,Breast,26000,Oklahoma,40,Female,F,464,1784671,26
,2004,2004,Breast,26000,Oregon,41,Female,F,512,1800377,28.4
,2004,2004,Breast,26000,Pennsylvania,42,Female,F,2312,6390749,36.2
,2004,2004,Breast,26000,Pennsylvania,42,Male,M,21,6019973,0.3
,2004,2004,Breast,26000,Rhode Island,44,Female,F,155,556375,27.9
,2004,2004,Breast,26000,South Carolina,45,Female,F,559,2162305,25.9
,2004,2004,Breast,26000,South Dakota,46,Female,F,106,386677,27.4
,2004,2004,Breast,26000,Tennessee,47,Female,F,885,3027931,29.2
,2004,2004,Breast,26000,Texas,48,Female,F,2473,11278402,21.9
,2004,2004,Breast,26000,Texas,48,Male,M,28,11115621,0.3
,2004,2004,Breast,26000,Utah,49,Female,F,221,1196749,18.5
,2004,2004,Breast,26000,Vermont,50,Female,F,96,315080,30.5
,2004,2004,Breast,26000,Virginia,51,Female,F,1052,3814310,27.6
,2004,2004,Breast,26000,Washington,53,Female,F,778,3107815,25
,2004,2004,Breast,26000,West Virginia,54,Female,F,304,927027,32.8
,2004,2004,Breast,26000,Wisconsin,55,Female,F,773,2782678,27.8
,2004,2004,Breast,26000,Wyoming,56,Female,F,70,251506,27.8
,2005,2005,Breast,26000,Alabama,01,Female,F,751,2354514,31.9
,2005,2005,Breast,26000,Alaska,02,Female,F,47,320920,14.6
,2005,2005,Breast,26000,Arizona,04,Female,F,683,2930811,23.3
,2005,2005,Breast,26000,Arkansas,05,Female,F,409,1418295,28.8
,2005,2005,Breast,26000,California,06,Female,F,4168,17996230,23.2
,2005,2005,Breast,26000,California,06,Male,M,28,17831713,0.2
,2005,2005,Breast,26000,Colorado,08,Female,F,516,2308238,22.4
,2005,2005,Breast,26000,Connecticut,09,Female,F,532,1802068,29.5
,2005,2005,Breast,26000,Delaware,10,Female,F,118,435227,27.1
,2005,2005,Breast,26000,District of Columbia,11,Female,F,95,299613,31.7
,2005,2005,Breast,26000,Florida,12,Female,F,2693,9117950,29.5
,2005,2005,Breast,26000,Florida,12,Male,M,21,8724088,0.2
,2005,2005,Breast,26000,Georgia,13,Female,F,1057,4555263,23.2
,2005,2005,Breast,26000,Hawaii,15,Female,F,151,644813,23.4
,2005,2005,Breast,26000,Idaho,16,Female,F,143,711983,20.1
,2005,2005,Breast,26000,Illinois,17,Female,F,1865,6423831,29
,2005,2005,Breast,26000,Illinois,17,Male,M,18,6186072,0.3
,2005,2005,Breast,26000,Indiana,18,Female,F,827,3191481,25.9
,2005,2005,Breast,26000,Iowa,19,Female,F,422,1503019,28.1
,2005,2005,Breast,26000,Kansas,20,Female,F,386,1387958,27.8
,2005,2005,Breast,26000,Kentucky,21,Female,F,584,2129658,27.4
,2005,2005,Breast,26000,Louisiana,22,Female,F,735,2263201,32.5
